Column,Coverage
CRC.SW.U0001.T,39037857
CRC.SW.U0002.T,31791836
CRC.SW.U0004.T,34791858
CRC.SW.U0005.T,24693408
CRC.SW.U0006.T,19020166
CRC.SW.U0007.T,22857145
CRC.SW.U0008.T,22311713
CRC.SW.U0012.T,30906729
CRC.SW.U0020.T,25568628
CRC.SW.U0023.T,26365236
CRC.SW.U0030.T,37543817
CRC.SW.U0038.T,25378651
CRC.SW.U0046.T,22299135
CRC.SW.U0054.T,24860091
CRC.SW.U0057.T,15059736
CRC.SW.U0062.T,29216431
CRC.SW.U0066.T,28067163
CRC.SW.U0067.T,29904375
CRC.SW.U0069.T,37180040
CRC.SW.U0070.T,26501845
CRC.SW.U0072.T,30653536
CRC.SW.U0073.T,38636848
CRC.SW.U0074.T,1417110
CRC.SW.U0075.T,25575733
CRC.SW.U0077.T,38039766
CRC.SW.U0078.T,27256554
CRC.SW.U0079.T,28274848
CRC.SW.U0080.T,31579372
CRC.SW.U0081.T,30752486
CRC.SW.U0082.T,31181182
CRC.SW.U0083.T,30042735
CRC.SW.U0085.N,21822061
CRC.SW.U0085.T,24376557
CRC.SW.U0086.T,24472927
CRC.SW.U0087.T,19507851
CRC.SW.U0088.T,32557813
CRC.SW.U0089.T,23858378
CRC.SW.U0091.N,25911473
CRC.SW.U0091.T,29460015
CRC.SW.U0092.T,28035336
CRC.SW.U0094.T,20457862
CRC.SW.U0095.T,28431618
CRC.SW.U0096.T,33687892
CRC.SW.U0097.T,33723391
CRC.SW.U0098.T,28652063
CRC.SW.U0099.N,24436164
CRC.SW.U0099.T,27008468
CRC.SW.U0100.T,29334264
CRC.SW.U0101.T,30306064
CRC.SW.U0102.T,24715542
CRC.SW.U0103.T,41429849
CRC.SW.U0104.T,26590840
CRC.SW.U0105.T,20289611
CRC.SW.U0106.T,33687107
CRC.SW.U0107.T,23264342
CRC.SW.U0108.T,21502374
CRC.SW.U0109.T,29449252
CRC.SW.U0110.T,26397520
CRC.SW.U0111.T,37517268
CRC.SW.U0112.T,31748319
CRC.SW.U0113.T,30246184
CRC.SW.U0114.T,31072570
CRC.SW.U0115.T,32788138
CRC.SW.U0116.T,33032073
CRC.SW.U0117.T,27781364
CRC.SW.U0118.T,13049400
CRC.SW.U0119.N,25593802
CRC.SW.U0119.T,31648477
CRC.SW.U0120.T,39313626
CRC.SW.U0121.T,27234421
CRC.SW.U0122.T,31747049
CRC.SW.U0123.T,28562577
CRC.SW.U0124.T,25633750
CRC.SW.U0125.N,26356430
CRC.SW.U0125.T,28809616
CRC.SW.U0126.N,26738120
CRC.SW.U0126.T,32954005
CRC.SW.U0127.T,34044372
CRC.SW.U0128.T,28069988
CRC.SW.U0129.T,28431371
CRC.SW.U0131.T,29518849
CRC.SW.U0132.T,23673774
CRC.SW.U0133.T,28663975
CRC.SW.U0134.T,33353223
CRC.SW.U0135.T,26409764
CRC.SW.U0136.T,33438483
CRC.SW.U0137.T,31697090
CRC.SW.U0138.T,26711217
CRC.SW.U0139.T,32932180
CRC.SW.U0140.T,28766910
CRC.SW.U0141.T,29592110
CRC.SW.U0142.T,28507504
CRC.SW.U0143.T,33157407
CRC.SW.U0144.T,28603424
CRC.SW.U0145.T,29306735
CRC.SW.U0146.T,29827177
CRC.SW.U0147.T,32109459
CRC.SW.U0148.T,26285699
CRC.SW.U0149.T,25225051
CRC.SW.U0151.T,21402904
CRC.SW.U0152.T,26273677
CRC.SW.U0153.T,27884802
CRC.SW.U0154.T,26058628
CRC.SW.U0155.T,33471777
CRC.SW.U0156.T,26773466
CRC.SW.U0157.T,26814803
CRC.SW.U0158.T,26247852
CRC.SW.U0159.T,24861800
CRC.SW.U0161.T,29590242
CRC.SW.U0162.T,29114262
CRC.SW.U0163.T,28571945
CRC.SW.U0165.T,19684799
CRC.SW.U0166.T,30276905
CRC.SW.U0167.T,31794516
CRC.SW.U0168.T,34280804
CRC.SW.U0169.T,21838387
CRC.SW.U0170.T,32300420
CRC.SW.U0172.T,32468427
CRC.SW.U0173.T,28718229
CRC.SW.U0174.T,36306951
CRC.SW.U0175.T,28448394
CRC.SW.U0176.T,28968218
CRC.SW.U0177.T,26832236
CRC.SW.U0178.T,31995860
CRC.SW.U0179.T,30541096
CRC.SW.U0180.T,24131606
CRC.SW.U0181.T,40382177
CRC.SW.U0182.T,22307441
CRC.SW.U0183.T,26246034
CRC.SW.U0184.T,23206641
CRC.SW.U0185.T,32607026
CRC.SW.U0186.T,39629017
CRC.SW.U0187.T,25841032
CRC.SW.U0188.T,28502574
CRC.SW.U0189.T,27130070
CRC.SW.U0190.T,29006461
CRC.SW.U0191.T,32201315
CRC.SW.U0192.T,32814008
CRC.SW.U0193.T,25787220
CRC.SW.U0195.T,38535870
CRC.SW.U0196.T,24442718
CRC.SW.U0198.T,23115084
CRC.SW.U0199.T,30525758
CRC.SW.U0200.T,32344018
CRC.SW.U0201.T,30782591
CRC.SW.U0202.T,28378009
CRC.SW.U0203.T,36067909
CRC.SW.U0204.T,24997626
